Game,Platform,Genre,Publisher,Year,Global_Sales_M,Critic_Score,User_Score,ESRB_Rating,Dev_Team_Size,Budget_MUSD,Region,Franchise,Metascore_Bucket
Champion Adventure 4,PC,Sports,Blue Games,2005,0.28,78,8.3,T,36,8.8,NA,False,Mid
Duel Odyssey 5,GC,Fighting,Thunder Studios,2007,0.16,69,6.3,M,22,13.6,NA,False,Mid
Collection Chronicles,GC,Party,Thunder Entertainment,2007,0.12,75,7.6,E,19,5.5,NA,False,Mid
Mega Duel,N64,Fighting,Digital Productions,2002,0.02,45,5.5,M,8,3.1,EU,False,Low
Puzzle Adventure,N64,Puzzle,Cosmic Labs,2002,0.19,82,8.5,T,7,2.3,EU,True,High
Robot Realm,PS2,Role-Playing,Silver Labs,2009,1.04,70,7.0,M,25,10.8,NA,False,Mid
Tournament Adventure,N64,Fighting,Thunder Studios,2002,0.45,75,7.5,M,18,4.8,NA,False,Mid
Enigma Quest,PS5,Puzzle,Golden Entertainment,2020,0.29,72,7.5,E,33,8.2,Other,False,Mid
Aim Odyssey,GC,Shooter,Digital Productions,2006,0.29,70,7.6,RP,18,6.7,JP,False,Mid
Dragon Bridge,GC,Role-Playing,Lightning Systems,2007,0.8,95,9.2,T,33,12.5,Other,True,Top
Launch Saga 5,GC,Platform,Purple Studios,2007,0.29,68,6.9,E10+,13,7.8,JP,True,Mid
Turbo Epic,Switch,Racing,Epic Systems,2017,0.36,84,8.2,E,13,4.2,JP,False,High
Tournament Epic 4,SNES,Fighting,Purple Studios,1998,0.32,87,9.4,E,18,12.1,EU,False,High
Elite Blast,PS4,Shooter,Cosmic Games,2020,0.48,69,7.6,M,54,38.4,EU,False,Mid
Shot Epic,Switch,Shooter,Blue Games,2017,0.08,63,6.3,E,26,16.8,NA,True,Low
Pure Stories 5,Switch,Indie,Thunder Studios,2018,0.15,76,7.7,E10+,4,1.8,EU,False,Mid
Mystery Chronicles,Switch,Puzzle,Green Systems,2017,0.2,89,8.3,T,5,2.3,Other,False,High
Jump Epic,PS2,Platform,Purple Works,2012,0.14,46,4.2,M,12,4.2,JP,False,Low
Squirrel Clash,PS4,Fighting,Crystal Systems,2014,0.06,79,7.8,E10+,39,46.2,Other,False,Mid
Aim Stories,PC,Shooter,Crystal Entertainment,1991,0.04,62,6.5,T,41,15.8,EU,False,Low
Ninja Vintage,GC,Indie,Legendary Entertainment,2007,0.08,87,8.7,E,3,1.2,Other,False,High
Tiger Duel,Switch,Fighting,Thunder Studios,2017,0.07,83,8.1,E,19,5.3,EU,True,High
School Stories,NES,Indie,Lightning Systems,1994,0.1,63,6.4,M,6,5.3,EU,True,Low
Hawk Simple,WiiU,Indie,Crystal Designs,2017,0.17,66,7.5,E10+,5,2.8,Other,False,Mid
Brawl Adventure,SNES,Fighting,Neon Designs,1998,0.02,72,6.8,RP,15,4.4,JP,False,Mid
School Chronicles,PC,Indie,Thunder Games,2014,0.15,73,8.1,E,18,9.2,JP,False,Mid
Season Tales,PS5,Sports,Blue Games,2020,0.27,60,5.4,T,46,18.6,Other,True,Low
Adventure Stories 4,N64,Adventure,Thunder Interactive,2002,0.01,77,7.8,T,12,8.6,Other,False,Mid
Expedition Adventure 2,PS1,Adventure,Purple Works,2005,0.33,72,7.7,E,14,4.3,NA,False,Mid
School Stories,PS4,Indie,Silver Labs,2020,0.1,74,8.0,T,32,15.4,EU,True,Mid
Classic Saga,PC,Indie,Crystal Designs,2019,0.17,67,6.5,E,27,12.0,NA,False,Mid
Journey Stories: Resurrection,PS4,Adventure,Cosmic Entertainment,2013,0.4,59,5.5,T,29,21.0,JP,True,Low
Assortment Tales,XOne,Party,Stellar Systems,2013,0.21,58,6.0,M,47,18.5,JP,False,Low
Solve Saga,X360,Puzzle,Neon Designs,2005,0.19,65,5.7,E,3,1.2,Other,True,Mid
Launch Journey,XSX,Platform,Golden Entertainment,2024,0.34,78,7.7,E10+,50,30.8,JP,True,Mid
Mouse Finish,XOne,Racing,Storm Interactive,2018,0.23,81,7.6,M,33,22.3,JP,True,High
Rat Force,Switch,Action,Thunder Studios,2018,0.04,82,8.1,E10+,25,9.2,EU,True,High
War Odyssey,PS2,Strategy,Green Labs,2012,0.01,58,5.6,T,17,6.7,JP,True,Low
Championship Epic,NES,Fighting,Golden Entertainment,1994,0.08,61,6.4,M,11,6.4,EU,False,Low
Wolf Speed 5,PC,Racing,Purple Designs,2020,0.47,69,6.7,M,26,20.6,EU,False,Mid
Gate Tales,PS1,Role-Playing,Cosmic Productions,2005,0.84,80,8.0,T,39,14.8,JP,False,High
Quest Stories 2,PS4,Adventure,Red Entertainment,2013,0.37,74,6.8,M,33,34.5,NA,False,Mid
Target Epic 2,PC,Shooter,Storm Studios,2012,0.14,60,5.6,E,53,25.7,NA,True,Low
Hotel Tales,PS5,Simulation,Lightning Games,2020,0.46,62,6.1,E,27,7.5,EU,False,Low
Arena Saga,PS3,Fighting,Lightning Systems,2007,0.05,76,7.8,E,21,8.2,EU,False,Mid
Owl Fighter,NES,Action,Neon Systems,1994,1.2,78,8.7,E10+,49,26.0,NA,False,Mid
Clash Adventure,Switch,Fighting,Red Entertainment,2017,0.11,75,7.4,T,11,5.3,JP,False,Mid
Master Chronicles,PS2,Adventure,Epic Systems,2012,0.26,57,5.1,T,18,5.4,JP,True,Low
Shark Fight 5,XSX,Fighting,Mystic Labs,2020,0.51,64,6.3,M,25,22.8,EU,False,Low
Rabbit Collection,Switch,Party,Silver Creations,2017,0.83,85,9.0,E,14,5.4,EU,True,High
Defense Stories,PC,Strategy,Purple Labs,2010,0.01,58,5.5,T,30,9.0,JP,False,Low
Tournament Stories,WiiU,Sports,Cosmic Entertainment,2013,0.12,68,7.1,E10+,17,4.7,EU,False,Mid
Arcade Stories,PS1,Indie,Digital Productions,1994,0.35,79,8.0,E,3,1.3,NA,False,Mid
Alien Force,XOne,Action,Purple Labs,2015,0.81,73,8.0,T,51,51.0,Other,False,Mid
Crow Lap: Revolution,PC,Racing,Green Labs,1988,0.08,82,7.8,T,16,4.4,NA,False,High
Pure Legends,GC,Indie,Cyber Studios,2005,0.01,85,9.0,E10+,3,2.3,EU,False,High
Logic Saga,PS4,Puzzle,Stellar Entertainment,2013,0.1,64,6.3,M,17,8.5,Other,False,Low
Arcade Legends,PS2,Indie,Silver Labs,2012,0.2,58,6.2,E10+,4,1.2,EU,True,Low
Retro Odyssey,XSX,Indie,Red Entertainment,2020,0.05,84,8.4,M,23,12.4,JP,False,High
Kingdom Tales,PS4,Role-Playing,Blue Designs,2013,0.6,64,6.1,E10+,53,17.0,NA,False,Low
Elite Chronicles,PS2,Adventure,Epic Systems,2012,0.16,80,7.8,E,22,8.7,JP,False,High
Warrior Attack,XSX,Strategy,Storm Studios,2020,0.01,62,6.6,E10+,41,41.2,Other,False,Low
Mix Stories,Switch,Party,Lightning Games,2017,0.44,72,6.9,E,5,1.8,JP,False,Mid
Strategy Chronicles 4,PS4,Strategy,Storm Studios,2016,0.08,86,9.1,E,38,25.9,EU,True,High
Launch Epic,PC,Platform,Thunder Interactive,2006,0.01,73,7.7,M,39,31.3,EU,False,Mid
Combat Tales,XOne,Fighting,Purple Labs,2018,0.1,61,6.9,E10+,45,39.1,EU,False,Low
Combat Adventure,PS1,Action,Green Systems,2005,0.05,61,6.8,M,30,26.1,EU,False,Low
Turbo Jump,Wii,Platform,Stellar Systems,2013,0.22,63,5.8,E,19,7.1,EU,True,Low
Circuit Adventure,SNES,Racing,Crystal Entertainment,1998,0.16,64,5.9,E,25,10.2,NA,True,Low
Bounce Quest,PS3,Platform,Neon Systems,2008,0.35,57,5.6,M,15,6.3,Other,False,Low
Rage Legends 2,PS2,Action,Cosmic Labs,2012,0.64,65,7.5,E,29,20.6,JP,False,Mid
Think Adventure: Revolution,XOne,Puzzle,Cosmic Entertainment,2016,0.01,66,5.8,M,37,14.5,JP,False,Mid
Voyage Stories,PS5,Adventure,Purple Studios,2020,0.12,79,8.7,M,34,25.1,Other,True,Mid
Odyssey Journey,Switch,Adventure,Silver Creations,2017,0.7,64,6.4,M,24,6.4,Other,False,Low
Rabbit Ring,Wii,Fighting,Thunder Entertainment,2013,0.07,75,8.3,E10+,13,3.3,EU,False,Mid
Lion Game,NES,Sports,Cyber Entertainment,1994,0.02,74,6.8,E,12,9.1,Other,True,Mid
Tiger Pixel,NES,Indie,Crystal Games,1994,0.02,79,8.5,E,4,0.7,EU,False,Mid
Sim Journey,SNES,Simulation,Epic Systems,1998,0.01,65,6.8,E10+,11,4.3,EU,False,Mid
Pack Tales,PS3,Party,Crystal Entertainment,2016,0.23,70,7.0,M,14,4.7,NA,False,Mid
Wolf Conflict,WiiU,Strategy,Purple Labs,2012,0.32,84,7.6,E,10,4.3,JP,False,High
Variety Journey,PS1,Party,Thunder Interactive,2005,0.02,60,6.4,E,25,8.5,EU,False,Low
Ultimate Dimension: Revelation,PS4,Role-Playing,Silver Works,2017,0.61,64,6.7,E,58,50.2,Other,False,Low
Trigger Quest 3,PS4,Shooter,Crystal Entertainment,2016,0.7,57,5.4,M,32,11.3,JP,False,Low
Mix Adventure,PC,Party,Cyber Studios,2021,0.32,75,8.2,E,38,26.0,NA,False,Mid
Brawl Epic 4,PS4,Fighting,Red Entertainment,2016,0.01,63,6.6,T,44,20.6,JP,False,Low
Champion Stories,X360,Sports,Purple Designs,2008,0.06,72,7.0,T,17,6.1,NA,False,Mid
Life Odyssey,PS1,Simulation,Neon Interactive,2005,0.09,66,6.2,E,13,5.2,EU,False,Mid
Trigger Adventure,PS3,Shooter,Thunder Studios,2014,0.78,75,7.6,T,29,33.9,EU,True,Mid
Turbo Duel,X360,Fighting,Digital Productions,2006,2.02,98,9.8,T,15,4.8,JP,True,Top
Elite Voyage 2,NES,Adventure,Green Labs,1994,0.57,62,6.6,M,10,5.1,EU,True,Low
World Tales: Revelation,N64,Role-Playing,Thunder Games,2002,0.55,57,6.6,E10+,27,8.0,EU,True,Low
Bounce Quest,GC,Platform,Neon Works,2007,0.03,71,6.5,E,22,5.3,Other,False,Mid
Max Trophy,PC,Sports,Blue Designs,2006,0.38,70,6.5,T,55,24.3,EU,False,Mid
Tactics Odyssey 5,XSX,Strategy,Stellar Systems,2020,0.02,77,7.3,E,32,33.5,JP,True,Mid
Dragon Leap,Wii,Platform,Crystal Systems,2013,3.83,81,8.4,T,14,3.8,EU,True,High
Cup Stories 5,SNES,Sports,Green Designs,1998,1.09,67,6.2,T,16,7.4,Other,False,Mid
Spider Battle,PS2,Strategy,Cosmic Studios,2012,0.2,91,9.3,E,16,10.2,Other,False,Top
Dash Chronicles,Wii,Platform,Legendary Entertainment,2011,0.04,65,6.8,T,23,9.6,EU,False,Mid
Nitro Chronicles,NES,Racing,Cosmic Games,1994,0.01,54,5.0,E,20,7.6,EU,False,Low
Fun Tales,PC,Party,Digital Productions,1985,0.34,66,6.7,E10+,47,24.0,Other,False,Mid
Hyper Challenge,GC,Puzzle,Thunder Games,2007,0.23,86,8.7,T,3,1.3,JP,False,High
Fire Legends,PS1,Shooter,Digital Productions,2005,0.83,73,7.7,M,40,18.0,Other,True,Mid
Gate Chronicles 4,PC,Role-Playing,Storm Interactive,2014,1.19,78,7.3,M,50,35.1,EU,False,Mid
League Tales,PS5,Sports,Legendary Entertainment,2020,0.01,82,9.1,E,35,26.3,Other,False,High
Tiger Leap,NES,Platform,Neon Works,1994,0.04,96,9.8,E,15,5.2,NA,True,Top
Warrior Command: Revelation,Switch,Strategy,Cyber Entertainment,2017,0.16,56,5.6,T,14,8.5,EU,True,Low
Ultimate Target: Rising,Wii,Shooter,Legendary Entertainment,2006,0.11,68,5.6,RP,34,17.9,EU,False,Mid
Match Epic 2,N64,Fighting,Neon Interactive,2002,0.05,60,6.3,M,10,5.1,NA,False,Low
Leap Quest,PS3,Platform,Silver Labs,2017,0.37,58,5.6,M,7,3.4,NA,True,Low
Hotel Adventure,XOne,Simulation,Cosmic Productions,2013,0.15,78,7.9,T,37,18.7,EU,False,Mid
Force Stories,XSX,Action,Silver Labs,2020,1.02,81,7.4,T,59,120.2,JP,True,High
Tournament Legends,SNES,Sports,Lightning Games,1998,0.87,75,7.4,RP,20,13.7,NA,False,Mid
Puzzle Chronicles: Return,Switch,Puzzle,Crystal Entertainment,2017,0.75,85,8.6,M,4,0.9,Other,False,High
Phoenix Circuit,PS2,Racing,Digital Productions,2004,0.07,96,9.7,E,14,7.9,NA,False,Top
Think Legends: Revival,PC,Puzzle,Storm Studios,2020,0.08,72,7.1,E,22,14.7,EU,False,Mid
Scope Chronicles: Revelation,PS5,Shooter,Thunder Interactive,2020,0.4,76,7.8,E,50,35.1,Other,True,Mid
Knight Warrior,PS5,Action,Cosmic Labs,2020,0.11,85,7.9,E,68,78.8,JP,False,High
Super Journey: Rising,PS5,Adventure,Thunder Studios,2022,2.04,81,8.2,E10+,59,77.0,JP,True,High
Elite Bridge,PC,Role-Playing,Storm Studios,2015,0.34,79,8.3,E10+,40,24.3,JP,False,Mid
World Chronicles,PS4,Simulation,Storm Interactive,2014,0.28,66,7.0,M,41,15.0,EU,False,Mid
Super Hotel,PC,Simulation,Cyber Studios,2017,0.34,77,8.2,E,43,23.5,Other,False,Mid
Mage Battle,SNES,Strategy,Purple Designs,1998,0.14,58,5.7,T,26,13.7,Other,False,Low
Scorpion Conquest,Wii,Strategy,Epic Systems,2008,0.46,91,8.8,E,21,7.9,EU,True,Top
Dash Epic,GC,Platform,Crystal Systems,2001,0.22,63,5.9,T,16,8.9,JP,True,Low
Blast Odyssey,PS4,Shooter,Legendary Entertainment,2016,0.87,72,6.7,M,44,52.6,EU,False,Mid
War Epic,PS2,Strategy,Silver Works,2008,0.09,91,8.8,E,19,16.6,JP,False,Top
Puzzle Stories,XSX,Puzzle,Cyber Studios,2020,0.24,87,8.8,T,14,10.0,JP,True,High
Pack Chronicles,Switch,Party,Digital Productions,2017,0.62,73,7.6,T,14,3.8,Other,True,Mid
City Odyssey 4,PS4,Simulation,Digital Productions,2013,0.16,71,7.6,T,41,18.9,JP,False,Mid
Robot Gate,PS5,Role-Playing,Green Systems,2020,0.19,76,6.8,M,52,35.9,Other,False,Mid
Universe Stories: Rebirth,Switch,Role-Playing,Silver Creations,2017,0.43,48,5.1,T,36,4.8,EU,True,Low
Pixel Stories,XSX,Indie,Epic Systems,2020,0.3,71,7.2,E10+,36,20.4,EU,True,Mid
Realm Journey: Redemption,XOne,Role-Playing,Thunder Studios,2014,0.19,44,4.0,T,92,84.1,JP,False,Low
Season Adventure,Switch,Sports,Cyber Entertainment,2019,0.81,54,4.7,E,13,7.5,JP,True,Low
Classic Stories,Switch,Indie,Blue Games,2017,0.35,55,4.8,M,3,1.5,Other,False,Low
Battle Epic,WiiU,Strategy,Stellar Entertainment,2016,0.46,82,8.6,E10+,14,3.8,EU,False,High
Assortment Odyssey,PS5,Party,Crystal Entertainment,2020,0.13,72,8.0,T,33,32.0,NA,True,Mid
Robot Conquest 5,PS3,Strategy,Epic Systems,2017,0.1,72,7.4,E10+,16,9.5,Other,True,Mid
Tactics Chronicles: Revelation,Switch,Strategy,Legendary Entertainment,2017,0.53,88,8.7,E,15,8.8,EU,False,High
Lord Finish 4,PS5,Racing,Thunder Studios,2020,0.7,86,8.9,M,41,34.9,NA,False,High
Mystery Saga 5,Wii,Puzzle,Cosmic Productions,2013,0.06,89,8.7,M,3,2.1,NA,False,High
Fox Bundle,Switch,Party,Purple Works,2017,0.02,58,5.0,T,14,3.3,JP,True,Low
Mouse Kingdom,WiiU,Role-Playing,Cosmic Labs,2013,0.07,75,7.8,M,38,11.4,NA,False,Mid
Rage Quest,Switch,Action,Thunder Interactive,2017,0.01,80,7.9,E10+,17,16.1,EU,True,High
Combat Saga,Wii,Fighting,Neon Interactive,2013,0.24,67,6.1,E,17,9.1,JP,False,Mid
Games Stories,Switch,Party,Future Interactive,2017,0.22,72,7.1,E,10,3.7,JP,False,Mid
Puzzle Odyssey 5,PS5,Puzzle,Cosmic Labs,2020,0.06,73,8.0,M,36,21.3,NA,True,Mid
City Legends: Awakening,PS4,Simulation,Golden Entertainment,2017,0.04,64,6.1,T,27,11.6,EU,True,Low
Finish Stories,XSX,Racing,Future Interactive,2020,1.12,62,5.6,T,36,27.7,EU,True,Low
Simple Odyssey,X360,Indie,Stellar Systems,2009,0.3,81,8.1,E,4,0.6,JP,False,High
Mix Chronicles,XOne,Party,Crystal Entertainment,2016,1.82,83,9.1,E,24,10.3,Other,False,High
Legends Odyssey,PS2,Adventure,Stellar Entertainment,2000,0.31,68,6.4,M,13,3.5,JP,False,Mid
Think Chronicles 2,WiiU,Puzzle,Silver Creations,2012,0.01,88,8.0,M,3,0.7,Other,True,High
Tournament Odyssey,Switch,Sports,Blue Designs,2017,0.36,90,8.9,M,12,3.8,NA,True,Top
Arena Epic 4,XOne,Fighting,Cyber Studios,2013,0.56,64,6.8,E,14,5.4,EU,False,Low
Siege Stories: Rebirth,PC,Strategy,Stellar Systems,2006,0.15,59,5.6,T,49,17.4,EU,False,Low
Rabbit Duel 3,GC,Fighting,Thunder Studios,2007,0.08,57,6.1,T,16,6.6,JP,True,Low
Arcade Legends,PS5,Indie,Silver Labs,2020,0.01,62,6.1,T,32,15.3,EU,True,Low
Journey Chronicles: Redemption,XSX,Adventure,Purple Studios,2020,0.52,72,7.2,T,39,18.5,JP,False,Mid
Spring Adventure,Switch,Platform,Stellar Systems,2017,0.07,59,6.3,T,6,4.4,JP,False,Low
Hawk Realm 2,PS4,Role-Playing,Thunder Studios,2013,0.51,59,6.3,E,61,36.8,NA,False,Low
Phoenix Universe,Wii,Role-Playing,Silver Works,2013,1.43,87,8.9,RP,36,6.2,JP,False,High
Odyssey Saga,WiiU,Adventure,Purple Studios,2017,0.1,72,6.3,E10+,25,16.7,EU,True,Mid
Quest Chronicles,Switch,Adventure,Legendary Entertainment,2020,0.15,87,9.4,E10+,17,5.2,Other,True,High
Lion Fury 3,PC,Action,Legendary Entertainment,2008,1.18,65,7.6,T,45,48.8,EU,False,Mid
Tiger Farm,PS4,Simulation,Stellar Entertainment,2019,0.15,82,8.1,E,32,22.2,Other,False,High
Finish Journey,XOne,Racing,Neon Works,2018,0.6,79,7.6,T,26,12.4,EU,False,Mid
Empire Chronicles,WiiU,Role-Playing,Crystal Systems,2017,0.27,69,6.9,M,46,29.7,NA,False,Mid
Victory Stories,PS4,Sports,Lightning Systems,2017,0.14,60,6.1,E,42,20.9,JP,False,Low
Battle Odyssey,WiiU,Action,Storm Studios,2012,1.12,88,9.6,E10+,43,24.9,Other,True,High
Combat Legends,PS5,Fighting,Cyber Studios,2020,0.06,53,6.0,T,40,18.8,EU,True,Low
Kingdom Legends,PS4,Role-Playing,Thunder Interactive,2014,0.1,54,5.7,M,3,1.2,NA,True,Low
Kingdom Epic,NES,Role-Playing,Thunder Games,1994,1.17,64,6.4,M,13,10.4,EU,False,Low
Shot Journey,Switch,Shooter,Crystal Games,2017,0.04,84,7.8,E,36,28.9,NA,True,High
Clash Journey 3,PS1,Fighting,Crystal Designs,2005,0.37,76,7.2,E,10,1.6,Other,False,Mid
Turbo Adventure: Awakening,PC,Racing,Crystal Designs,2014,0.41,72,6.1,E,44,12.2,Other,False,Mid
Simple Chronicles: Revenge,PS5,Indie,Neon Interactive,2020,0.25,83,8.7,E10+,11,13.3,NA,True,High
Snake Cup: Revenge,Switch,Sports,Silver Works,2017,0.05,78,7.3,T,11,3.8,EU,True,Mid
Rage Stories,NES,Action,Red Entertainment,1994,0.05,61,5.7,M,19,16.2,NA,False,Low
King Retro,PC,Indie,Digital Productions,2007,0.09,47,4.6,M,19,4.4,Other,False,Low
Robot Power,Wii,Action,Crystal Designs,2006,0.56,69,6.6,M,30,12.3,NA,False,Mid
Fight Quest,XSX,Fighting,Thunder Games,2020,0.36,58,4.5,T,21,18.3,JP,False,Low
Victory Epic,PS2,Sports,Thunder Games,2000,0.07,67,6.5,E,10,2.5,JP,False,Mid
Assortment Chronicles,GC,Party,Cyber Entertainment,2007,0.33,67,6.5,E,15,7.9,EU,True,Mid
Ring Saga 4,XOne,Fighting,Epic Systems,2013,0.24,68,6.5,T,35,25.5,Other,False,Mid
Spring Tales,NES,Platform,Purple Designs,1994,0.7,85,7.6,E,12,4.6,EU,False,High
Nitro Journey,GC,Racing,Cosmic Games,2007,0.04,74,7.6,E,10,6.2,JP,True,Mid
Weapon Stories 2,XOne,Shooter,Green Designs,2014,0.19,71,6.9,E,69,66.7,EU,False,Mid
Arena Epic 5,XSX,Fighting,Purple Labs,2020,0.7,77,8.5,T,28,14.6,JP,True,Mid
Dog Conquest: Resurrection,PS3,Strategy,Green Systems,2011,0.43,72,7.0,RP,3,0.7,NA,True,Mid
Fun Saga 5,PS1,Party,Silver Creations,2005,0.85,75,7.2,T,15,7.9,Other,False,Mid
Champion Stories,PS4,Sports,Purple Studios,2013,0.7,76,7.6,M,55,28.2,EU,False,Mid
Hero Games 5,XOne,Party,Lightning Games,2013,0.16,82,9.1,T,35,26.8,JP,True,High
Dash Epic,GC,Platform,Crystal Systems,2001,0.15,70,6.5,E10+,14,4.4,Other,False,Mid
Enigma Odyssey,PC,Puzzle,Green Designs,2011,0.16,64,6.0,E10+,34,14.4,EU,False,Low
Fight Tales,PS5,Fighting,Digital Productions,2020,0.13,65,6.3,M,27,20.4,EU,True,Mid
Wizard Quest 3,Wii,Adventure,Blue Games,2013,0.14,57,5.5,E10+,18,3.4,JP,True,Low
Mini Epic,Switch,Party,Cosmic Labs,2017,0.57,67,6.6,M,15,4.9,EU,True,Mid
Run Journey,SNES,Platform,Stellar Systems,1998,0.6,69,7.1,E10+,16,8.6,Other,True,Mid
Battle Odyssey,PS4,Strategy,Thunder Studios,2018,0.08,83,8.9,T,19,8.3,EU,False,High
Riddle Legends,PS5,Puzzle,Stellar Systems,2020,0.12,81,8.1,E,36,21.4,Other,True,High
Master Resort,PS4,Simulation,Green Labs,2013,0.12,88,9.2,M,56,26.1,JP,False,High
Bat Target,PS3,Shooter,Cyber Studios,2011,0.71,50,4.8,RP,43,24.6,Other,False,Low
Arcade Saga,GC,Indie,Digital Productions,2007,0.02,70,7.1,M,5,2.7,Other,True,Mid
Clash Tales,PS2,Fighting,Neon Systems,2012,0.01,63,6.3,E,18,6.4,NA,False,Low
Turbo Saga 5,PS1,Racing,Mystic Labs,2005,1.24,76,7.5,E,14,7.6,Other,False,Mid
Enigma Adventure 4,Switch,Puzzle,Neon Designs,2017,0.05,76,8.1,E10+,7,2.5,NA,True,Mid
Arena Stories,Switch,Fighting,Mystic Labs,2017,0.36,67,6.3,E,11,3.6,NA,True,Mid
Trophy Chronicles,Wii,Sports,Thunder Studios,2013,0.32,67,7.0,T,20,9.1,EU,False,Mid
Bat Circuit,NES,Racing,Storm Studios,1994,0.1,83,8.3,E10+,4,1.9,Other,True,High
Dog Arena,PC,Fighting,Digital Productions,2010,0.23,86,8.2,T,25,12.8,JP,False,High
Party Saga,GC,Party,Purple Labs,2007,0.08,69,7.0,M,13,2.4,NA,True,Mid
Final Tales 5,PS4,Sports,Stellar Systems,2015,0.07,56,5.0,E,35,21.7,Other,False,Low
Think Saga,WiiU,Puzzle,Future Interactive,2012,0.05,66,6.9,E,5,2.3,NA,False,Mid
The Racing,NES,Racing,Thunder Studios,1994,0.15,91,9.3,E10+,15,4.0,NA,False,Top
The Turbo,GC,Racing,Lightning Systems,2007,0.45,61,7.6,E,13,8.1,EU,True,Low
Battle Stories,Wii,Action,Epic Systems,2013,0.01,73,7.4,RP,31,17.9,JP,False,Mid
Park Quest,N64,Simulation,Cosmic Studios,1996,0.28,74,6.9,E,13,2.5,JP,False,Mid
Tactics Legends 4,X360,Strategy,Neon Systems,2011,0.21,90,8.7,E,14,2.5,NA,True,Top
Warrior Mini,XSX,Party,Legendary Entertainment,2020,0.27,57,5.2,E,44,39.8,JP,False,Low
Dash Odyssey,Switch,Platform,Neon Works,2017,0.15,55,5.4,E,17,3.2,JP,True,Low
Siege Chronicles,Wii,Strategy,Storm Studios,2013,0.18,65,6.3,E10+,21,15.0,JP,False,Mid
Solve Saga: Revival,WiiU,Puzzle,Thunder Entertainment,2015,0.02,56,5.0,E10+,6,3.4,JP,False,Low
Pure Saga,XOne,Indie,Thunder Entertainment,2019,0.18,63,7.5,E,32,24.0,EU,True,Low
Mini Journey 2,GC,Party,Storm Games,2007,0.18,75,8.1,E10+,16,3.0,NA,True,Mid
Fight Tales,PS4,Fighting,Storm Games,2020,0.1,70,8.5,RP,33,30.6,Other,False,Mid
Logic Adventure,PS1,Puzzle,Thunder Studios,2005,0.01,76,6.8,T,7,4.2,JP,True,Mid
Sim Quest,Switch,Simulation,Storm Interactive,2017,0.47,59,5.9,E10+,25,14.0,JP,True,Low
Dragon Mystery,SNES,Puzzle,Blue Games,1998,0.4,80,8.9,E10+,3,0.9,JP,False,High
Games Quest 2,Switch,Party,Future Interactive,2017,0.53,63,6.6,T,11,3.6,Other,True,Low
Bundle Saga: Redemption,XSX,Party,Neon Systems,2020,0.4,70,6.9,T,38,8.7,NA,True,Mid
City Chronicles,Switch,Simulation,Green Designs,2017,0.86,69,7.3,E,15,6.3,Other,True,Mid
Eagle Park,N64,Simulation,Neon Interactive,2002,0.81,77,7.2,T,16,12.9,NA,True,Mid
Eagle Portal,PS3,Role-Playing,Storm Studios,2017,0.23,72,6.9,E,27,10.9,JP,False,Mid
Cup Chronicles,XOne,Sports,Stellar Systems,2013,1.48,76,8.2,M,16,17.9,Other,True,Mid
War Journey: Resurrection,WiiU,Strategy,Cosmic Studios,2012,0.13,70,7.1,E,11,5.6,JP,True,Mid
Lion Puzzle,Switch,Puzzle,Green Designs,2017,0.02,89,8.8,E10+,5,1.7,JP,True,High
Mystery Chronicles,PS5,Puzzle,Cosmic Labs,2020,0.14,66,7.5,T,29,16.1,Other,False,Mid
Think Chronicles,NES,Puzzle,Cosmic Studios,1994,0.19,85,8.5,E,4,2.2,JP,True,High
Explorer Legends 2,Wii,Adventure,Cosmic Labs,2012,0.38,87,9.0,T,18,4.3,EU,False,High
Discovery Adventure,PS4,Adventure,Neon Works,2013,0.13,57,5.4,E10+,14,5.8,Other,False,Low
Master Games,Switch,Party,Stellar Entertainment,2018,0.26,63,6.0,E,13,5.1,Other,False,Low
Boost Stories,N64,Platform,Thunder Entertainment,2002,0.71,74,7.4,E,14,3.1,NA,True,Mid
Farm Epic: Awakening,PS5,Simulation,Cosmic Labs,2020,0.26,74,8.0,RP,60,21.8,JP,False,Mid
The Fire,Wii,Shooter,Green Systems,2013,1.34,69,6.9,M,35,6.6,Other,True,Mid
Combat Adventure,PS1,Action,Epic Systems,2005,0.86,70,7.1,E,29,20.9,Other,False,Mid
Champion Stories 3,PS4,Sports,Purple Studios,2013,1.73,52,5.3,T,39,13.3,NA,False,Low
Track Stories,PS4,Racing,Neon Interactive,2016,0.23,49,4.6,E,12,10.2,EU,False,Low
Strike Journey 3,PC,Action,Epic Systems,2007,0.47,56,6.5,M,20,17.1,EU,False,Low
Raven Mind 4,PS5,Puzzle,Purple Labs,2020,0.24,73,8.1,E10+,25,17.9,EU,False,Mid
Siege Legends,Switch,Strategy,Neon Systems,2017,0.08,66,6.3,E,22,11.3,NA,True,Mid
Vintage Journey,NES,Indie,Thunder Games,1992,0.14,69,6.7,T,5,1.5,Other,False,Mid
Rabbit Gun,X360,Shooter,Lightning Systems,2016,0.23,63,6.1,E,42,33.0,JP,True,Low
Master Arcade 2,PS4,Indie,Neon Works,2013,0.02,70,6.3,M,20,17.7,Other,True,Mid
Match Epic,XOne,Fighting,Thunder Studios,2013,0.22,71,7.5,E10+,42,23.0,EU,False,Mid
Crow Ring,GC,Fighting,Epic Systems,2007,0.1,79,8.1,M,17,5.3,NA,False,Mid
